sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,is_violent_recid,v_decile_score,decile_score
Male,22,Caucasian,0,0,3,0,-1,1507,O,0,O,0,10,7
Male,23,African-American,0,0,0,1,231,1238,M,1,M,1,10,10
Male,50,African-American,1,0,0,23,74,737,F,0,O,0,10,10
Male,27,African-American,1,0,1,4,300,707,M,1,F,0,10,8
Male,29,Caucasian,0,0,0,11,135,636,F,0,O,0,10,10
Male,28,Caucasian,0,0,0,7,331,626,M,0,O,0,10,10
Male,20,African-American,3,0,0,3,105,554,F,0,O,0,10,10
Male,27,Caucasian,0,0,0,1,506,409,F,0,O,0,10,10
Male,18,African-American,4,0,0,3,-414,372,F,0,O,0,10,9
Male,18,Hispanic,1,0,0,1,-23,333,F,0,O,0,10,9
Male,24,African-American,1,7,0,13,-255,255,F,0,O,0,10,10
Male,19,African-American,3,0,0,3,74,252,F,1,F,0,10,10
Male,22,Caucasian,1,0,4,6,168,251,F,1,M,0,10,10
Male,39,Caucasian,0,0,0,21,-216,216,F,0,O,0,10,10
Male,41,African-American,0,0,0,14,-202,203,F,0,O,0,10,7
Male,20,Hispanic,1,0,0,1,-189,189,F,1,M,0,10,8
Male,24,African-American,0,0,0,3,-155,156,M,1,M,0,10,10
Male,25,African-American,0,0,0,7,258,134,F,1,F,0,10,10
Male,27,Hispanic,0,0,1,18,70,128,F,0,O,0,10,10
Male,32,Caucasian,1,0,0,11,149,127,F,1,M,0,10,10
Female,25,African-American,0,0,0,7,-102,102,F,1,F,0,10,9
Male,27,African-American,0,0,0,5,20,78,F,0,O,0,10,10
Male,20,African-American,4,2,1,6,-70,70,F,1,M,0,10,10
Male,29,Caucasian,0,0,0,1,-1,61,M,0,O,0,10,10
Male,19,African-American,0,2,0,3,-57,57,F,1,M,1,10,9
Male,20,African-American,2,0,0,2,-56,56,F,1,M,0,10,8
Male,24,African-American,1,1,0,8,-54,54,F,1,F,1,10,9
Male,20,Caucasian,1,0,0,1,28,50,F,1,M,0,10,9
Male,20,African-American,1,0,1,1,-51,50,F,1,F,1,10,10
Male,19,African-American,4,1,0,5,-48,48,F,0,O,0,10,10
Male,20,African-American,1,0,0,1,-48,48,F,0,O,0,10,7
Male,20,African-American,0,0,1,1,-41,41,F,0,O,0,10,9
Male,26,African-American,0,2,0,13,-69,41,F,0,O,0,10,10
Male,19,African-American,1,0,1,1,-40,40,F,1,F,1,10,10
Male,28,Caucasian,0,0,0,1,-39,39,F,0,O,0,10,10
Male,20,African-American,1,0,0,2,-35,35,F,1,F,1,10,10
Female,29,African-American,0,0,0,2,64,34,F,0,O,0,10,10
Male,20,Hispanic,0,0,0,2,9,33,F,1,M,0,10,10
Male,19,African-American,2,1,1,3,22,23,F,1,F,0,10,10
Male,24,African-American,0,1,0,8,-18,18,F,1,M,0,10,10
Male,21,African-American,1,0,0,1,-15,15,F,0,O,0,10,9
Male,36,African-American,0,0,0,12,-13,13,F,0,O,0,10,9
Male,19,Hispanic,1,0,0,1,-12,12,F,1,M,1,10,9
Male,18,African-American,2,0,0,2,-5,5,F,0,O,0,10,10
Male,32,Caucasian,0,0,0,8,-4,4,F,1,M,0,10,9
Female,24,African-American,0,0,0,3,-1,2,F,0,O,0,10,8
Male,24,African-American,0,1,0,3,-1,2,F,1,F,0,10,10
Male,21,African-American,0,0,0,1,-1,2,F,0,O,0,10,9
Male,30,African-American,0,0,0,18,0,1,M,1,M,0,10,9
Male,26,African-American,0,0,0,13,0,1,M,1,M,0,10,10
Male,30,African-American,0,0,0,7,0,1,M,1,M,0,10,10
Male,26,Caucasian,0,0,0,6,0,1,M,0,O,0,10,7
Male,40,African-American,0,0,0,5,0,1,F,1,F,0,10,9
Male,26,African-American,0,0,0,3,0,1,F,1,M,0,10,10
Male,23,African-American,2,0,0,3,0,1,F,1,M,0,10,10
Male,61,African-American,0,0,0,2,0,1,M,0,O,0,10,8
Male,22,African-American,0,0,0,2,0,1,F,1,M,0,10,9
Male,22,African-American,0,0,0,1,0,1,F,1,M,0,10,9
Male,20,African-American,0,1,0,1,0,1,F,1,F,1,10,8
Male,21,Caucasian,0,0,0,0,0,1,F,1,F,1,10,8
Male,19,African-American,0,0,0,0,0,1,F,0,O,0,10,8
Male,31,African-American,0,3,0,27,-1,1,F,0,O,0,10,10
Male,26,African-American,0,2,2,27,-1,1,M,1,F,0,10,9
